ncm,ncm_dot,descrição,categorias/0,categorias/1,categorias/2
01012100,0101.21.00,reprodutores de raça pura,0101,01012,010121
01012900,0101.29.00,outros,0101,01012,010129
01013000,0101.30.00,asininos,0101,01013,010130
01019000,0101.90.00,outros,0101,01019,010190
01022110,0102.21.10,prenhes ou com cria ao pé,0102,01022,010221
01022190,0102.21.90,outros,0102,01022,010221
01022911,0102.29.11,prenhes ou com cria ao pé,0102,01022,010229
01022919,0102.29.19,outros,0102,01022,010229
01022990,0102.29.90,outros,0102,01022,010229
01023110,0102.31.10,prenhes ou com cria ao pé,0102,01023,010231
01023190,0102.31.90,outros,0102,01023,010231
01023911,0102.39.11,prenhes ou com cria ao pé,0102,01023,010239
01023919,0102.39.19,outros,0102,01023,010239
01023990,0102.39.90,outros,0102,01023,010239
01029000,0102.90.00,outros,0102,01029,010290
01031000,0103.10.00,reprodutores de raça pura,0103,01031,010310
01039100,0103.91.00,de peso inferior a 50 kg,0103,01039,010391
01039200,0103.92.00,de peso igual ou superior a 50 kg,0103,01039,010392
01041011,0104.10.11,prenhes ou com cria ao pé,0104,01041,010410
01041019,0104.10.19,outros,0104,01041,010410
01041090,0104.10.90,outros,0104,01041,010410
01042010,0104.20.10,reprodutores de raça pura,0104,01042,010420
01042090,0104.20.90,outros,0104,01042,010420
01051110,0105.11.10,de linhas puras ou híbridas,0105,01051,010511
01051190,0105.11.90,outros,0105,01051,010511
01051200,0105.12.00,peruas e perus,0105,01051,010512
01051300,0105.13.00,patos,0105,01051,010513
01051400,0105.14.00,gansos,0105,01051,010514
01051500,0105.15.00,galinhasd'angola (pintadas),0105,01051,010515
01059400,0105.94.00,aves da espécie gallus domesticus,0105,01059,010594
01059900,0105.99.00,outros,0105,01059,010599
01061100,0106.11.00,primatas,0106,01061,010611
01061200,0106.12.00,baleias,0106,01061,010612
01061300,0106.13.00,camelos e outros camelídeos (camelidae),0106,01061,010613
01061400,0106.14.00,coelhos e lebres,0106,01061,010614
01061900,0106.19.00,outros,0106,01061,010619
01062000,0106.20.00,répteis (incluindo as serpentes e as tartarugas marinhas),0106,01062,010620
01063100,0106.31.00,aves de rapina,0106,01063,010631
01063200,0106.32.00,psitaciformes (incluindo os papagaios,0106,01063,010632
01063310,0106.33.10,avestruzes (struthio camelus),0106,01063,010633
01063390,0106.33.90,outros,0106,01063,010633
01063900,0106.39.00,outras,0106,01063,010639
